company,tier,total,repo_count,language_diversity,tooling_signal,migration_signal,contributor_count,recency,repo_age,commit_velocity,careers_keywords,eng_hiring_velocity,funding_recency,plg_signal,ai_native,engineering_scale,industry_complexity,rationale
Jane Street,Tier 1,100,10,10,15,10,4,10,5,0,6,10,0,0,0,10,10,"Score driven by: 12 SDK/tooling-pattern repos, 12 migration-pattern repos (ppx_pipebang: 'rewrite', ppx_sexp_value: 'rewrite'), 12 languages, careers page mentions infrastructure engineer, internal tooling, internal tools, 95 open eng roles, 84% repos active in last 90d, ~2500 employees, trading_quant vertical."
Bloomberg,Tier 2,73,10,10,15,10,5,0,5,3,0,0,0,0,0,10,5,"Score driven by: 11 SDK/tooling-pattern repos, 4 migration-pattern repos (repofactor: 'refactor', ppx_string_interpolation: 'rewrite'), 22 languages, ~9.9 commits/week across top repos, ~20000 employees, media vertical."
BBC,Tier 2,73,10,10,15,10,5,0,5,3,0,0,0,0,0,10,5,"Score driven by: 62 SDK/tooling-pattern repos, 5 migration-pattern repos (Fifa-Crisis-Visualisation: 'v2', mobileci-jenkins-support: 'rebuild'), 40 languages, ~1.5 commits/week across top repos, ~22000 employees, media vertical."
NASA,Tier 2,72,10,10,15,5,4,0,5,3,0,0,0,0,0,10,10,"Score driven by: 48 SDK/tooling-pattern repos, 1 migration-pattern repos (isce3-test: 'migrating'), 43 languages, ~3.4 commits/week across top repos, ~18000 employees, public_sector vertical."
Comcast,Tier 2,67,10,10,15,5,4,0,5,3,0,0,0,0,0,10,5,"Score driven by: 11 SDK/tooling-pattern repos, 1 migration-pattern repos (libcertifier: 'v3'), 24 languages, ~1.1 commits/week across top repos, ~190000 employees, telecom vertical."
American Express,Tier 2,66,7,10,15,5,4,0,5,0,0,0,0,0,0,10,10,"Score driven by: 12 SDK/tooling-pattern repos, 1 migration-pattern repos (middle-manager: 'migration'), 12 languages, ~70000 employees, financial_services vertical."
The New York Times,Tier 2,66,7,10,15,10,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 8 SDK/tooling-pattern repos, 3 migration-pattern repos (openapi2proto: 'v3', libvmod-queryfilter: 'v3'), 17 languages, ~5000 employees, media vertical."
Genentech,Tier 2,66,7,10,12,5,4,0,5,3,0,0,0,0,0,10,10,"Score driven by: 4 SDK/tooling-pattern repos, 1 migration-pattern repos (psborrow: 'successor'), 14 languages, ~1.2 commits/week across top repos, ~15000 employees, pharma vertical."
JPMorgan Chase,Tier 2,64,7,10,15,0,4,0,5,3,0,0,0,0,0,10,10,"Score driven by: 9 SDK/tooling-pattern repos, 10 languages, ~2.3 commits/week across top repos, ~300000 employees, financial_services vertical."
Goldman Sachs,Tier 2,61,7,10,15,0,4,0,5,0,0,0,0,0,0,10,10,"Score driven by: 7 SDK/tooling-pattern repos, 12 languages, ~45000 employees, financial_services vertical."
Walmart Global Tech,Tier 2,56,7,10,15,0,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 5 SDK/tooling-pattern repos, 20 languages, ~15000 employees, retail vertical."
Target,Tier 2,56,7,10,9,5,5,0,5,0,0,0,0,0,0,10,5,"Score driven by: 3 SDK/tooling-pattern repos, 1 migration-pattern repos (network_interfaces_v2-cookbook: 'v2'), 24 languages, ~4000 employees, retail vertical."
Expedia Group,Tier 2,56,7,10,15,0,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 17 SDK/tooling-pattern repos, 18 languages, ~17000 employees, travel vertical."
Booking.com,Tier 2,56,7,10,15,0,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 7 SDK/tooling-pattern repos, 16 languages, ~22000 employees, travel vertical."
Home Depot,Tier 2,55,7,10,9,5,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 3 SDK/tooling-pattern repos, 1 migration-pattern repos (go-clouddriver: 'rewrite'), 14 languages, ~4000 employees, retail vertical."
AstraZeneca,Tier 2,55,7,10,9,0,4,0,5,0,0,0,0,0,0,10,10,"Score driven by: 3 SDK/tooling-pattern repos, 8 languages, ~80000 employees, pharma vertical."
Capital One,Tier 3,52,4,10,9,0,4,0,5,0,0,0,0,0,0,10,10,"Score driven by: 3 SDK/tooling-pattern repos, 13 languages, ~50000 employees, financial_services vertical."
Two Sigma,Tier 3,52,7,10,6,0,4,0,5,0,0,0,0,0,0,10,10,"Score driven by: 17 languages, ~2000 employees, trading_quant vertical."
Wayfair,Tier 3,49,4,10,6,0,4,5,5,0,0,0,0,0,0,10,5,"Score driven by: 12 languages, 46% repos active in last 90d, ~13000 employees, retail vertical."
The Washington Post,Tier 3,48,7,10,9,0,2,0,5,0,0,0,0,0,0,10,5,"Score driven by: 3 SDK/tooling-pattern repos, 15 languages, ~2500 employees, media vertical."
Verizon,Tier 3,44,4,10,6,0,4,0,5,0,0,0,0,0,0,10,5,"Score driven by: 10 languages, ~105000 employees, telecom vertical."
Pfizer,Tier 4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,"Score driven by: ~80000 employees, pharma vertical."
Lockheed Martin,Tier 4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,"Score driven by: ~116000 employees, aerospace_defense vertical."
